"Preis";"Kerne";"Takt_Prozessor";"Arbeitsspeicher";"Bild_Display";"Speicher_Grafik";"extern_Schnittstellen";"HDD";"SSD";"Akku_Kapazitaet";"PPI_Display";"Pixelshader";"Typ_Arbeitsspeicher_DDR_4";"Laufwerk_VORHANDEN";"Lautsprecher_UEBERDURCHSCHN";"Tastatur_Beleuchtung_vorhanden";"Fingerabdrucksensor_vorhanden";"Touchscreen_vorhanden";"Mobilfunk_vorhanden";"NFC_vorhanden";"Akku_Typ_ION";"Marke_HP";"Marke_ASUS";"Marke_Acer";"Marke_Apple";"Marke_Dell";"Marke_Lenovo";"Betriebssystem_Windows";"Betriebssystem_Mac";"Betriebssystem_DOS";"Betriebssystem_LINUX";"Betriebssystem_OHNE";"Mikrofon_Sound_vorhanden"
2779;6;2900;16;15,6;4096;6;0;512;95,6;282;768;1;0;1;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0
1199;4;1800;16;13,3;2048;4;0;512;53;165;384;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1
799;4;1800;16;15,6;0;6;0;512;41;141;24;1;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
2449;6;2600;32;15,6;4096;8;0;512;90;141;768;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
519;4;1600;8;15,6;0;6;0;256;36;141;24;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1
849;4;1600;8;14;0;7;0;256;50;157;24;1;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1
1299;6;2200;8;15,6;4096;6;0;512;95,6;282;640;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
1034;6;2200;8;15,6;4096;7;1000;128;48;141;768;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1
1399;6;2600;8;17,3;6144;7;1000;512;55;127;1536;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1
1049;4;1800;16;15,6;2048;7;0;512;45;141;640;1;0;0;1;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1
1199;4;2200;8;14;0;7;0;512;50;157;640;1;0;0;1;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
1499;6;2600;8;15,6;6144;8;0;512;66;141;1920;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1
2699;6;2600;32;15,6;4096;8;0;512;90;282;768;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
849;4;1600;8;13,3;4096;6;0;512;50;165;384;0;0;0;1;1;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1
1099;4;1600;8;14;2048;7;0;512;50;157;512;1;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1
479;2;2500;8;14;0;6;0;256;41;111;192;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
499;4;2100;8;15,6;0;6;1000;128;41;141;512;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
699;4;1600;8;15,6;2048;6;1000;256;45;141;24;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1
1929;4;1800;16;15,6;2048;7;0;512;57;141;384;1;0;0;1;1;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;1
1149;4;1600;16;14;4096;5;0;256;57;157;384;0;0;0;1;1;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1
1599;4;1600;8;13,3;0;5;0;256;56,2;165;24;0;0;0;1;1;1;1;0;1;1;0;0;0;0;0;1;0;0;0;0;1
